name,type,nr_rows,wrds_library,wrds_table,label,fetched_by_module
cusip,VARCHAR(8),4922867,crsp,msf,Cusip ,wrds.crspm
permno,DOUBLE_PRECISION,4922867,crsp,msf,,wrds.crspm
permco,DOUBLE_PRECISION,4922867,crsp,msf,CRSP Permanent Company Number ,wrds.crspm
issuno,DOUBLE_PRECISION,4922867,crsp,msf,Nasdaq Issue Number ,wrds.crspm
hexcd,DOUBLE_PRECISION,4922867,crsp,msf,Header Exchange Code ,wrds.crspm
hsiccd,DOUBLE_PRECISION,4922867,crsp,msf,Header SIC Code ,wrds.crspm
date,DATE,4922867,crsp,msf,,wrds.crspm
bidlo,DOUBLE_PRECISION,4922867,crsp,msf,Bid or Low ,wrds.crspm
askhi,DOUBLE_PRECISION,4922867,crsp,msf,Ask or High ,wrds.crspm
prc,DOUBLE_PRECISION,4922867,crsp,msf,Price ,wrds.crspm
vol,DOUBLE_PRECISION,4922867,crsp,msf,Share Volume ,wrds.crspm
ret,DOUBLE_PRECISION,4922867,crsp,msf,Holding Period Return ,wrds.crspm
bid,DOUBLE_PRECISION,4922867,crsp,msf,Closing Bid ,wrds.crspm
ask,DOUBLE_PRECISION,4922867,crsp,msf,Closing Ask ,wrds.crspm
shrout,DOUBLE_PRECISION,4922867,crsp,msf,Number of Shares Outstanding ,wrds.crspm
cfacpr,DOUBLE_PRECISION,4922867,crsp,msf,Cumulative Factor to Adjust Price ,wrds.crspm
cfacshr,DOUBLE_PRECISION,4922867,crsp,msf,Cumulative Factor to Adjust Shares ,wrds.crspm
altprc,DOUBLE_PRECISION,4922867,crsp,msf,Price Alternate ,wrds.crspm
spread,DOUBLE_PRECISION,4922867,crsp,msf,Spread Between Bid and Ask ,wrds.crspm
altprcdt,DATE,4922867,crsp,msf,Price Alternate Date ,wrds.crspm
retx,DOUBLE_PRECISION,4922867,crsp,msf,Holding Period Return without Dividends ,wrds.crspm
permno,DOUBLE_PRECISION,111623,crsp,msenames,,wrds.crspm
namedt,DATE,111623,crsp,msenames,,wrds.crspm
nameendt,DATE,111623,crsp,msenames,Names Ending Date ,wrds.crspm
shrcd,DOUBLE_PRECISION,111623,crsp,msenames,Share Code ,wrds.crspm
exchcd,DOUBLE_PRECISION,111623,crsp,msenames,Exchange Code ,wrds.crspm
siccd,DOUBLE_PRECISION,111623,crsp,msenames,SIC Code ,wrds.crspm
ncusip,VARCHAR(8),111623,crsp,msenames,Ncusip ,wrds.crspm
ticker,VARCHAR(8),111623,crsp,msenames,Ticker ,wrds.crspm
comnam,VARCHAR(35),111623,crsp,msenames,Company Name ,wrds.crspm
shrcls,VARCHAR(4),111623,crsp,msenames,Share Class ,wrds.crspm
tsymbol,VARCHAR(10),111623,crsp,msenames,Trading Symbol ,wrds.crspm
naics,VARCHAR(7),111623,crsp,msenames,North American Industry Class System ,wrds.crspm
primexch,VARCHAR(1),111623,crsp,msenames,Primary Exchange ,wrds.crspm
trdstat,VARCHAR(1),111623,crsp,msenames,Trading Status ,wrds.crspm
secstat,VARCHAR(1),111623,crsp,msenames,Security Status ,wrds.crspm
permco,DOUBLE_PRECISION,111623,crsp,msenames,CRSP Permanent Company Number ,wrds.crspm
compno,DOUBLE_PRECISION,111623,crsp,msenames,,wrds.crspm
issuno,DOUBLE_PRECISION,111623,crsp,msenames,Nasdaq Issue Number ,wrds.crspm
hexcd,DOUBLE_PRECISION,111623,crsp,msenames,Header Exchange Code ,wrds.crspm
hsiccd,DOUBLE_PRECISION,111623,crsp,msenames,Header SIC Code ,wrds.crspm
cusip,VARCHAR(8),111623,crsp,msenames,Cusip ,wrds.crspm
