Variable Name,Description
TB3MS,yield_3mt
DTB3,yield_3mt
GS10,yield_10yt
DGS10,yield_10yt
GS1,yield_1yt
DGS1,yield_1yt
AAA,yield_aaa
BAA,yield_baa
DAAA,yield_aaa
DBAA,yield_baa
FEDFUNDS,yield_fedf
DFF,yield_fedf
CPIAUCSL,cpi
CPIAUCNS,cpi_nsa
INDPRO,indprod
IPB50001SQ,indprod_q
UNRATE,unemp_rate
GDP,nom_gdp
GDPC1,real_gdp
GNP,nom_gnp
GNPC96,real_gnp
GDPPOT,pot_rgdp
USREC,rec_dum
RECPROUSM156N,rec_prob
CFNAI,cfnai
UMCSENT,sent_mich
MICH,exp_inflation
USEPUINDXM,pu_bbd
USEPUNEWSINDXM,punews_bbd
USEPUINDXD,pu_bbd_d
VIXCLS,vix
VXOCLS,vxo
