Variable Name,Type,Description
OFTIC,Char,Official Ticker (OFTIC)
TICKER,Char,I/B/E/S Ticker (TICKER)
CUSIP,Char,CUSIP/SEDOL (CUSIP)
CNAME,Char,Company Name (CNAME)
FPEDATS,Float,"Forecast Period End Date, SAS Format (FPEDATS)"
ACTDATS,Date,"Activation Date, SAS Format (ACTDATS)"
ACTTIMS,Float,"Activation Time, SAS Format (ACTTIMS)"
REVDATS,Float,"Review Date, SAS Format (REVDATS)"
REVTIMS,Float,"Review Time, SAS Format (REVTIMS)"
ANNDATS,Date,"Announce Date, SAS Format (ANNDATS)"
ANNTIMS,Float,"Announce Time, SAS Format (ANNTIMS)"
ESTIMATOR,Float,Estimator (ESTIMATOR)
ANALYS,Float,Analyst Code (ANALYS)
VALUE,Float,Estimate Value (VALUE)
USFIRM,Float,U.S. Firm (USFIRM=0 if from .INT and USFIRM=1 if from .US file) (USFIRM)
CURRFL,Char,Canadian Currency Flag(Estimate Level) (CURRFL)
CURR,Char,Currency (CURR)
REPORT_CURR,Char,Report Currency from Report Currency File (REPORT_CURR)
PDF,Char,Primary/Diluted Flag(Estimate Level) (PDF)
